symbol,variant,lookback_days,sharpe,total_pct,cagr_pct,buyhold_pct,maxdd_pct,trades,days_per_trade,win_pct,pf,corr_btc,worst_mae_pct,data_start
BTCUSDT,baseline,90,1.31,257,33,28,-24.5,259,6.3,52.5,1.79,-0.08,-16.4,2021-10-01
ADAUSDT,baseline,90,1.1,214,29,-89,-27.6,266,6.2,53.0,1.56,0.23,-22.9,2021-10-01
AVAXUSDT,baseline,90,0.92,154,23,-94,-24.3,263,6.2,58.2,1.4,0.13,-70.1,2021-10-01
ETHUSDT,baseline,90,0.8,154,23,-57,-30.9,277,5.9,52.0,1.36,-0.02,-21.1,2021-10-01
DOGEUSDT,baseline,90,0.76,157,23,-58,-41.6,275,6.0,47.3,1.38,0.05,-29.9,2021-10-01
SOLUSDT,baseline,90,0.6,99,17,-57,-35.3,248,6.6,50.4,1.27,-0.04,-39.5,2021-10-01
LINKUSDT,baseline,90,0.48,84,15,-63,-57.4,248,6.6,50.4,1.21,0.0,-46.0,2021-10-01
SUIUSDT,baseline,90,0.33,39,11,-50,-37.7,178,6.5,47.8,1.15,-0.08,-34.3,2023-05-03
BNBUSDT,baseline,90,0.05,8,2,7,-52.6,254,6.5,52.0,1.06,-0.05,-25.2,2021-10-01
XRPUSDT,baseline,90,-0.03,-9,-2,25,-115.8,260,6.3,48.8,1.01,-0.31,-106.2,2021-10-01
TRXUSDT,baseline,90,-0.05,-17,-4,321,-136.3,255,6.4,51.0,1.01,-0.46,-117.3,2021-10-01
LTCUSDT,baseline,90,-0.07,-13,-3,-71,-85.7,252,6.5,48.0,1.0,-0.13,-33.5,2021-10-01
DOTUSDT,baseline,90,-0.48,-82,-32,-97,-91.4,255,6.4,45.5,0.86,0.24,-77.8,2021-10-01
1000PEPEUSDT,baseline,90,-0.64,-97,-66,-45,-98.6,188,6.1,48.4,0.79,-0.26,-58.4,2023-05-05
